CreatedDate,pm25,pm10,aqi,co2,temperature,humidity
2018-02-09 08:23:00,90,155,200,-1,,
2018-02-09 08:24:00,102,169,238,-1,,
2018-02-09 08:25:00,96.5,147,218,-1,,
2018-02-09 08:26:00,92,142,204,-1,,
2018-02-09 08:27:00,91.6666666667,142.6666666667,201,-1,,
2018-02-09 08:28:00,89.6666666667,143.6666666667,196,-1,,
2018-02-09 08:29:00,91.6666666667,152.6666666667,201,-1,,
2018-02-09 08:30:00,94.75,150,211,-1,,
2018-02-09 08:31:00,98.6666666667,155,224,-1,,
2018-02-09 08:32:00,92,148.5,204,-1,,
2018-02-09 08:33:00,91.3333333333,149.6666666667,201,-1,,
2018-02-09 08:34:00,101.5,170,235,-1,,
2018-02-09 08:35:00,115.5,193,282,-1,,
2018-02-09 08:36:00,106,217,252,-1,,
2018-02-09 08:37:00,123,198.5,302,-1,,
2018-02-09 08:38:00,114.3333333333,251.3333333333,279,-1,,
2018-02-09 08:39:00,98.5,250,224,-1,,
2018-02-09 08:40:00,88,178.5,193,-1,,
2018-02-09 08:41:00,86.3333333333,158.3333333333,186,-1,,
2018-02-09 08:42:00,103,190.5,241,-1,,
2018-02-09 08:43:00,114.3333333333,212,279,-1,,
2018-02-09 08:44:00,104.6666666667,205,245,-1,,
2018-02-09 08:45:00,90.3333333333,152.3333333333,200,-1,,
2018-02-09 08:46:00,90.3333333333,147,200,-1,,
2018-02-09 08:47:00,102.6666666667,165.3333333333,238,-1,,
2018-02-09 08:48:00,108,199.6666666667,259,-1,,
2018-02-09 08:49:00,108.3333333333,175,259,-1,,
2018-02-09 08:50:00,197.6666666667,290,359,-1,,
2018-02-09 08:51:00,181.3333333333,296,347,-1,,
2018-02-09 08:52:00,129,242.3333333333,307,-1,,
2018-02-09 08:53:00,109.3333333333,205.3333333333,262,-1,,
2018-02-09 08:54:00,102.3333333333,168.3333333333,238,-1,,
2018-02-09 08:55:00,98,176.6666666667,224,-1,,
2018-02-09 08:56:00,95.3333333333,166.3333333333,214,-1,,
2018-02-09 08:57:00,98,173,224,-1,,
2018-02-09 08:58:00,104.3333333333,183.3333333333,245,-1,,
2018-02-09 08:59:00,115,195.6666666667,282,-1,,
2018-02-09 09:00:00,105.3333333333,182.6666666667,248,-1,,
2018-02-09 09:01:00,118.3333333333,182,293,-1,,
2018-02-09 09:02:00,96,170,218,-1,,
2018-02-09 09:03:00,107.3333333333,241,255,-1,,
2018-02-09 09:04:00,81.5,164,169,-1,,
2018-02-09 09:05:00,85.6666666667,152,182,-1,,
2018-02-09 09:06:00,82.5,174.5,172,-1,,
2018-02-09 09:07:00,75,153.5,148,-1,,
2018-02-09 09:08:00,75.3333333333,139.3333333333,148,-1,,
2018-02-09 09:09:00,76.5,155.5,152,-1,,
2018-02-09 09:10:00,82.3333333333,177.6666666667,172,-1,,
2018-02-09 09:11:00,72.5,123,138,-1,,
2018-02-09 09:12:00,68.5,110,124,-1,,
2018-02-09 09:13:00,76,141.6666666667,152,-1,,
2018-02-09 09:14:00,71.6666666667,122,135,-1,,
2018-02-09 09:15:00,77.3333333333,129.6666666667,155,-1,,
2018-02-09 09:16:00,84.6666666667,134.6666666667,179,-1,,
2018-02-09 09:17:00,71,116,135,-1,,
2018-02-09 09:18:00,71.3333333333,123.6666666667,135,-1,,
2018-02-09 09:19:00,74,131.3333333333,145,-1,,
2018-02-09 09:20:00,77.3333333333,212,174,-1,,
2018-02-09 09:21:00,76,168,152,-1,,
2018-02-09 09:22:00,85.3333333333,188.3333333333,182,-1,,
2018-02-09 09:23:00,80.3333333333,179.3333333333,165,-1,,
2018-02-09 09:24:00,70.6666666667,140.6666666667,131,-1,,
2018-02-09 09:25:00,66.3333333333,109,118,-1,,
2018-02-09 09:26:00,72,157.3333333333,138,-1,,
2018-02-09 09:27:00,83.3333333333,241.3333333333,194,-1,,
2018-02-09 09:28:00,76,207,171,-1,,
2018-02-09 09:29:00,60,118.6666666667,112,-1,,
2018-02-09 09:30:00,68,193,162,-1,,
2018-02-09 09:31:00,70.5,201,167,-1,,
2018-02-09 09:32:00,61.6666666667,146.3333333333,130,-1,,
2018-02-09 09:33:00,69.5,179,152,-1,,
2018-02-09 09:34:00,66,147.3333333333,131,-1,,
2018-02-09 09:35:00,74.5,202.5,168,-1,,
2018-02-09 09:36:00,100.3333333333,239.3333333333,231,-1,,
2018-02-09 09:37:00,110.6666666667,254,265,-1,,
2018-02-09 09:38:00,82.3333333333,165.6666666667,172,-1,,
2018-02-09 09:39:00,82.3333333333,164.6666666667,172,-1,,
2018-02-09 09:40:00,76.6666666667,141,152,-1,,
2018-02-09 09:41:00,72.6666666667,119.3333333333,138,-1,,
2018-02-09 09:42:00,90.6666666667,171.3333333333,200,-1,,
2018-02-09 09:43:00,101.3333333333,180.3333333333,235,-1,,
2018-02-09 09:44:00,72.6666666667,122.6666666667,138,-1,,
2018-02-09 09:45:00,67.3333333333,125,121,-1,,
2018-02-09 09:46:00,69.3333333333,107,128,-1,,
2018-02-09 09:47:00,79,160,162,-1,,
2018-02-09 09:48:00,97.5,245.5,221,-1,,
2018-02-09 09:49:00,97.3333333333,247.6666666667,221,-1,,
2018-02-09 09:50:00,96.3333333333,234.3333333333,218,-1,,
2018-02-09 09:51:00,75.6666666667,187,158,-1,,
2018-02-09 09:52:00,68.3333333333,124.6666666667,124,-1,,
